iteration,prob_high,du_count,count_high,parent_mean_high,parent_sd_high,parent_mean_low,parent_sd_low,pilot_du_count,pilot_ucl,action_level,pilot_ratio,count_pilot_ucl_exceeds,count_true_mean_exceeds,prop_pilot_ucl_exceeds,prop_true_mean_exceeds,a,b,match,match_desc
1,0.0655668299645186,100,4,600,300,100,50,28,144.576069547686,1597.73644170491,0.0904880590902787,0,0,0,0,1,1,4,"Compliance - Correct"
2,0.21935211122036,100,22,600,300,100,50,51,255.022222750186,3473.5720654414,0.073417858603656,0,0,0,0,1,1,4,"Compliance - Correct"
3,0.131855134805664,100,13,600,300,100,50,23,172.129465177641,5134.59687836934,0.0335234623584133,0,0,0,0,1,1,4,"Compliance - Correct"
4,0.0576118616387248,100,9,600,300,100,50,17,119.352154727658,135.106248892844,0.883394777856054,3,9,0.176470588235294,0.09,0,0,1,"Not in Compliance - Correct"
5,0.18706940729171,100,21,600,300,100,50,20,215.357034136783,627.745094485581,0.343064463631153,3,7,0.15,0.07,0,0,1,"Not in Compliance - Correct"
6,0.175889437552541,100,16,600,300,100,50,22,253.572221374843,4307.29081222322,0.0588704669429928,0,0,0,0,1,1,4,"Compliance - Correct"
7,0.127768846927211,100,15,600,300,100,50,90,190.698212276481,2397.52369718859,0.079539656896864,0,0,0,0,1,1,4,"Compliance - Correct"
8,0.152939964598045,100,14,600,300,100,50,74,193.550088967527,3832.88136156276,0.05049728147302,0,0,0,0,1,1,4,"Compliance - Correct"
9,0.117691350635141,100,12,600,300,100,50,54,194.883136930396,2134.32339423103,0.0913090947028718,0,0,0,0,1,1,4,"Compliance - Correct"
10,0.192222945857793,100,22,600,300,100,50,12,350.297977850671,5793.39155041147,0.0604650962743561,0,0,0,0,1,1,4,"Compliance - Correct"
1,0.133647976676002,100,15,600,300,100,50,42,199.24330886579,5314.36846481171,0.0374914366937576,0,0,0,0,1,1,4,"Compliance - Correct"
2,0.202959921956062,100,20,600,300,100,50,28,275.883472245975,5841.4565912867,0.0472285410213424,0,0,0,0,1,1,4,"Compliance - Correct"
3,0.155616300180554,100,14,600,300,100,50,75,212.17715023079,2564.60269356845,0.0827329514871412,0,0,0,0,1,1,4,"Compliance - Correct"
4,0.219967395439744,100,18,600,300,100,50,51,203.34588988922,4990.54083219031,0.0407462631259492,0,0,0,0,1,1,4,"Compliance - Correct"
5,0.214630618179217,100,20,600,300,100,50,56,237.652178518909,3630.85878350539,0.0654534347627447,0,0,0,0,1,1,4,"Compliance - Correct"
6,0.231286600138992,100,18,600,300,100,50,63,259.818157396087,4348.25958762085,0.059752218597015,0,0,0,0,1,1,4,"Compliance - Correct"
7,0.181489744549617,100,18,600,300,100,50,83,242.360199456825,3729.37288667308,0.0649868508249469,0,0,0,0,1,1,4,"Compliance - Correct"
