iteration,prob_high,du_count,count_high,parent_mean_high,parent_sd_high,parent_mean_low,parent_sd_low,pilot_du_count,pilot_ucl,action_level,pilot_ratio,count_pilot_ucl_exceeds,count_true_mean_exceeds,prop_pilot_ucl_exceeds,prop_true_mean_exceeds,a,b,match,match_desc
1,0.095175406,100,12,600,1800,100,300,67,671.3884091,3659.991868,0.183439864,3,0,0.044776119,0,0,1,2,Not in Compliance - Error
2,0.191514173,100,17,600,1800,100,300,84,331.4425385,4239.913453,0.078172006,0,0,0,0,1,1,4,Compliance - Correct
3,0.08870065,100,9,600,1800,100,300,42,434.4309231,1572.715391,0.276229842,2,0,0.047619048,0,0,1,2,Not in Compliance - Error
4,0.166428945,100,14,600,1800,100,300,55,314.9111444,196.2243843,1.604852248,27,18,0.490909091,0.18,0,0,1,Not in Compliance - Correct
5,0.169734696,100,18,600,1800,100,300,28,516.7025592,2567.960807,0.201211233,1,0,0.035714286,0,0,1,2,Not in Compliance - Error
6,0.176771635,100,18,600,1800,100,300,56,319.779694,2475.457794,0.129180023,0,0,0,0,1,1,4,Compliance - Correct
7,0.179388655,100,24,600,1800,100,300,21,319.3331581,416.0534894,0.767529095,5,15,0.238095238,0.15,0,0,1,Not in Compliance - Correct
8,0.197580799,100,20,600,1800,100,300,48,415.5234964,395.4019153,1.050888932,15,10,0.3125,0.1,0,0,1,Not in Compliance - Correct
9,0.208446009,100,22,600,1800,100,300,71,546.6038224,5138.461878,0.106374988,2,0,0.028169014,0,0,1,2,Not in Compliance - Error
10,0.20531151,100,18,600,1800,100,300,56,426.0394951,2782.195918,0.153130659,1,0,0.017857143,0,0,1,2,Not in Compliance - Error
1,0.190385851,100,17,600,1800,100,300,15,315.869753,736.6069561,0.428817228,2,3,0.133333333,0.03,0,0,1,Not in Compliance - Correct
2,0.094513597,100,10,600,1800,100,300,25,590.7999921,2285.753818,0.258470526,2,0,0.08,0,0,1,2,Not in Compliance - Error
3,0.201471639,100,21,600,1800,100,300,50,443.1090955,4099.429471,0.10809043,0,0,0,0,1,1,4,Compliance - Correct
4,0.113862728,100,17,600,1800,100,300,50,355.3172172,3504.146788,0.101399068,1,0,0.02,0,0,1,2,Not in Compliance - Error
5,0.09477856,100,12,600,1800,100,300,84,518.9237729,3263.003894,0.159032533,4,0,0.047619048,0,0,1,2,Not in Compliance - Error
6,0.085734324,100,6,600,1800,100,300,29,461.1867907,4674.286182,0.098664646,0,0,0,0,1,1,4,Compliance - Correct
7,0.097693065,100,9,600,1800,100,300,12,219.098312,2054.515372,0.106642333,0,0,0,0,1,1,4,Compliance - Correct
8,0.12621298,100,16,600,1800,100,300,23,1311.079752,3303.047973,0.396930278,2,0,0.086956522,0,0,1,2,Not in Compliance - Error
9,0.224289354,100,26,600,1800,100,300,50,525.1407588,2104.536433,0.249527996,3,0,0.06,0,0,1,2,Not in Compliance - Error
10,0.111997706,100,7,600,1800,100,300,70,255.0190747,1743.917748,0.14623343,1,0,0.014285714,0,0,1,2,Not in Compliance - Error
1,0.087835108,100,13,600,1800,100,300,56,258.4731793,605.6827161,0.42674683,4,3,0.071428571,0.03,0,0,1,Not in Compliance - Correct
2,0.069586583,100,5,600,1800,100,300,88,282.191341,1523.420151,0.1852354,2,0,0.022727273,0,0,1,2,Not in Compliance - Error
3,0.068798638,100,7,600,1800,100,300,49,261.6153968,3516.80447,0.074390089,0,0,0,0,1,1,4,Compliance - Correct
4,0.193827432,100,22,600,1800,100,300,57,692.3189739,2034.177393,0.340343461,4,1,0.070175439,0.01,0,0,1,Not in Compliance - Correct
5,0.235505045,100,20,600,1800,100,300,30,392.6803201,4485.044113,0.087553279,0,0,0,0,1,1,4,Compliance - Correct
6,0.16424079,100,14,600,1800,100,300,88,514.2457671,2367.711516,0.217191057,4,0,0.045454545,0,0,1,2,Not in Compliance - Error
7,0.136467148,100,15,600,1800,100,300,53,256.439773,4682.446847,0.05476619,0,0,0,0,1,1,4,Compliance - Correct
8,0.117311186,100,15,600,1800,100,300,59,407.2416037,1004.577486,0.405385955,6,0,0.101694915,0,0,1,2,Not in Compliance - Error
9,0.119448422,100,7,600,1800,100,300,40,349.5290073,5074.927579,0.068873694,0,0,0,0,1,1,4,Compliance - Correct
10,0.116725656,100,17,600,1800,100,300,44,402.1255006,749.2275443,0.536720124,5,1,0.113636364,0.01,0,0,1,Not in Compliance - Correct
1,0.205673321,100,23,600,1800,100,300,62,681.9412478,1910.679008,0.35691042,5,2,0.080645161,0.02,0,0,1,Not in Compliance - Correct
2,0.066864387,100,4,600,1800,100,300,26,211.7215832,5875.153016,0.036036778,0,0,0,0,1,1,4,Compliance - Correct
3,0.206675274,100,21,600,1800,100,300,51,500.6369084,88.954582,5.628005856,41,48,0.803921569,0.48,0,0,1,Not in Compliance - Correct
4,0.127296318,100,12,600,1800,100,300,33,452.1407598,2091.556729,0.216174275,1,0,0.03030303,0,0,1,2,Not in Compliance - Error
5,0.12916722,100,14,600,1800,100,300,70,478.2844887,1167.979636,0.409497284,9,1,0.128571429,0.01,0,0,1,Not in Compliance - Correct
6,0.177308935,100,23,600,1800,100,300,67,462.8302609,297.7535459,1.554407218,19,19,0.28358209,0.19,0,0,1,Not in Compliance - Correct
7,0.246700048,100,26,600,1800,100,300,39,368.7332567,1457.028162,0.253072155,2,0,0.051282051,0,0,1,2,Not in Compliance - Error
8,0.150038401,100,14,600,1800,100,300,59,537.4888415,2041.865654,0.263234185,4,0,0.06779661,0,0,1,2,Not in Compliance - Error
9,0.150498026,100,13,600,1800,100,300,38,281.436565,2181.708702,0.128998232,0,0,0,0,1,1,4,Compliance - Correct
10,0.223465241,100,23,600,1800,100,300,20,457.8784509,4778.772944,0.095815067,0,0,0,0,1,1,4,Compliance - Correct
1,0.075188212,100,8,600,1800,100,300,46,451.1659103,3527.339769,0.12790543,1,0,0.02173913,0,0,1,2,Not in Compliance - Error
2,0.141974133,100,10,600,1800,100,300,17,434.2771673,4044.927508,0.107363399,0,0,0,0,1,1,4,Compliance - Correct
3,0.205150801,100,27,600,1800,100,300,33,297.3696737,4843.622071,0.06139407,0,0,0,0,1,1,4,Compliance - Correct
4,0.125309136,100,5,600,1800,100,300,50,484.1789237,2514.501276,0.192554654,4,0,0.08,0,0,1,2,Not in Compliance - Error
5,0.098657788,100,12,600,1800,100,300,90,302.2553698,4930.695345,0.06130076,1,0,0.011111111,0,0,1,2,Not in Compliance - Error
6,0.230247598,100,19,600,1800,100,300,47,587.877821,1501.526667,0.391520067,4,0,0.085106383,0,0,1,2,Not in Compliance - Error
7,0.050560049,100,4,600,1800,100,300,22,369.7631144,5249.770301,0.070434151,0,0,0,0,1,1,4,Compliance - Correct
8,0.140343546,100,22,600,1800,100,300,15,199.841631,4043.575641,0.049422009,0,0,0,0,1,1,4,Compliance - Correct
9,0.074841258,100,7,600,1800,100,300,62,397.4342377,5771.213697,0.068864932,1,0,0.016129032,0,0,1,2,Not in Compliance - Error
10,0.212158867,100,20,600,1800,100,300,72,449.8742304,4840.075284,0.092947775,1,0,0.013888889,0,0,1,2,Not in Compliance - Error
1,0.205658822,100,23,600,1800,100,300,65,437.1504013,553.6422946,0.789589967,15,9,0.230769231,0.09,0,0,1,Not in Compliance - Correct
2,0.142245933,100,12,600,1800,100,300,45,299.8405582,5683.297193,0.052758205,0,0,0,0,1,1,4,Compliance - Correct
3,0.118186328,100,9,600,1800,100,300,66,331.3144473,3805.016364,0.087073068,0,0,0,0,1,1,4,Compliance - Correct
4,0.187470536,100,23,600,1800,100,300,33,627.6466608,2964.429167,0.211725977,2,0,0.060606061,0,0,1,2,Not in Compliance - Error
5,0.247417281,100,30,600,1800,100,300,37,535.9238071,3005.837138,0.178294359,1,0,0.027027027,0,0,1,2,Not in Compliance - Error
6,0.094735574,100,4,600,1800,100,300,16,163.8589112,5832.274296,0.0280952,0,0,0,0,1,1,4,Compliance - Correct
7,0.078908516,100,11,600,1800,100,300,72,880.6390773,4396.988998,0.200282302,2,1,0.027777778,0.01,0,0,1,Not in Compliance - Correct
8,0.062318816,100,5,600,1800,100,300,59,286.3052469,4043.454046,0.070807098,0,0,0,0,1,1,4,Compliance - Correct
9,0.124862046,100,10,600,1800,100,300,33,527.4612441,5342.466296,0.098729915,1,0,0.03030303,0,0,1,2,Not in Compliance - Error
10,0.101968782,100,14,600,1800,100,300,57,662.8322307,3329.412919,0.199083817,1,0,0.01754386,0,0,1,2,Not in Compliance - Error
1,0.157738193,100,14,600,1800,100,300,25,381.6352267,2995.867338,0.127387225,1,0,0.04,0,0,1,2,Not in Compliance - Error
2,0.116052625,100,9,600,1800,100,300,72,366.2619016,4058.938839,0.090235876,1,0,0.013888889,0,0,1,2,Not in Compliance - Error
3,0.051599571,100,7,600,1800,100,300,41,231.3119348,5189.312937,0.044574674,0,0,0,0,1,1,4,Compliance - Correct
4,0.060899903,100,4,600,1800,100,300,24,227.1215024,3805.97641,0.059674963,0,0,0,0,1,1,4,Compliance - Correct
5,0.153744186,100,18,600,1800,100,300,34,530.3523671,994.1682204,0.533463408,6,3,0.176470588,0.03,0,0,1,Not in Compliance - Correct
6,0.138348372,100,14,600,1800,100,300,50,634.8564751,3208.873336,0.197844043,3,0,0.06,0,0,1,2,Not in Compliance - Error
7,0.130800002,100,15,600,1800,100,300,85,543.6388493,2715.791526,0.200176944,4,0,0.047058824,0,0,1,2,Not in Compliance - Error
8,0.18531149,100,17,600,1800,100,300,89,486.0732981,4546.247681,0.10691747,0,0,0,0,1,1,4,Compliance - Correct
