iteration,prob_high,du_count,count_high,parent_mean_high,parent_sd_high,parent_mean_low,parent_sd_low,pilot_du_count,pilot_ucl,action_level,pilot_ratio,count_pilot_ucl_exceeds,count_true_mean_exceeds,prop_pilot_ucl_exceeds,prop_true_mean_exceeds,a,b,match,match_desc
357,0.239358831,100,22,600,900,100,150,85,353.9094535,1470.428447,0.24068458,2,1,0.023529412,0.01,0,0,1,Not in Compliance - Correct
358,0.102604866,100,11,600,900,100,150,71,377.737436,5444.626711,0.069378023,1,0,0.014084507,0,0,1,2,Not in Compliance - Error
359,0.246071141,100,26,600,900,100,150,42,402.2239173,149.0623174,2.698360822,24,31,0.571428571,0.31,0,0,1,Not in Compliance - Correct
360,0.062200828,100,7,600,900,100,150,12,274.9102228,1861.05908,0.147717085,0,0,0,0,1,1,4,Compliance - Correct
361,0.156664688,100,17,600,900,100,150,50,359.6461782,3227.841225,0.111420034,1,0,0.02,0,0,1,2,Not in Compliance - Error
362,0.096951621,100,11,600,900,100,150,13,269.356978,273.7881586,0.983815295,4,11,0.307692308,0.11,0,0,1,Not in Compliance - Correct
363,0.124211893,100,12,600,900,100,150,81,318.054813,2765.174167,0.11502162,0,0,0,0,1,1,4,Compliance - Correct
364,0.097048306,100,6,600,900,100,150,15,718.6802568,2348.261392,0.30604781,1,0,0.066666667,0,0,1,2,Not in Compliance - Error
365,0.142089385,100,20,600,900,100,150,22,490.5147006,4593.322822,0.106788641,1,0,0.045454545,0,0,1,2,Not in Compliance - Error
366,0.15328238,100,13,600,900,100,150,14,229.4923224,5048.639787,0.045456268,0,0,0,0,1,1,4,Compliance - Correct
367,0.131505648,100,9,600,900,100,150,75,209.1620959,1721.780985,0.121480082,0,0,0,0,1,1,4,Compliance - Correct
368,0.130755468,100,19,600,900,100,150,26,313.8109824,5243.226051,0.059850744,0,0,0,0,1,1,4,Compliance - Correct
369,0.150050907,100,12,600,900,100,150,31,284.3445059,1124.441227,0.252876272,1,0,0.032258065,0,0,1,2,Not in Compliance - Error
370,0.102925485,100,8,600,900,100,150,76,318.3084631,2775.860145,0.114670209,1,0,0.013157895,0,0,1,2,Not in Compliance - Error
371,0.079443847,100,9,600,900,100,150,69,198.400272,290.4115366,0.683169389,12,8,0.173913043,0.08,0,0,1,Not in Compliance - Correct
372,0.101373762,100,9,600,900,100,150,76,296.8295546,1370.857328,0.216528408,3,0,0.039473684,0,0,1,2,Not in Compliance - Error
