"","1","2","3","4"
"0.1 <= Pilot < 0.2",136,18,20,1011
"0.2 <= Pilot < 0.3",146,33,9,1038
"0.3 <= Pilot < 0.4",159,40,2,1091
"0.4 <= Pilot < 0.5",164,42,2,1005
"0.5 <= Pilot < 0.6",158,49,0,1078
"0.6 <= Pilot < 0.7",136,55,0,1001
"0.7 <= Pilot < 0.8",156,69,0,1017
"0.8 <= Pilot <= 0.9",169,79,0,1117
