"","1","2","3","4"
"R <= 0.1",0,0,0,6462
"0.1 < R <= 0.2",0,91,7,1632
"0.2 < R <= 0.3",100,211,14,253
"0.3 < R <= 0.4",228,76,7,10
"0.4 < R <= 0.5",200,6,2,1
"0.5 < R <= 0.6",105,1,1,0
"0.6 < R <= 0.7",82,0,1,0
"0.7 < R <= 0.8",76,0,0,0
"0.8 < R <= 0.9",47,0,1,0
"0.9 < R <= 1",36,0,0,0
"R > 1.0",350,0,0,0
