"","1","2","3","4"
"0.1 <= Pilot < 0.2",158,143,40,852
"0.2 <= Pilot < 0.3",207,203,8,787
"0.3 <= Pilot < 0.4",224,256,10,780
"0.4 <= Pilot < 0.5",246,262,3,728
"0.5 <= Pilot < 0.6",222,313,4,680
"0.6 <= Pilot < 0.7",211,396,1,694
"0.7 <= Pilot < 0.8",228,463,0,579
"0.8 <= Pilot <= 0.9",244,480,0,578
