"","1","2","3","4"
"0.1 <= Pilot < 0.2",254,196,56,657
"0.2 <= Pilot < 0.3",286,355,31,579
"0.3 <= Pilot < 0.4",299,394,11,506
"0.4 <= Pilot < 0.5",314,435,9,485
"0.5 <= Pilot < 0.6",353,551,4,406
"0.6 <= Pilot < 0.7",334,546,6,381
"0.7 <= Pilot < 0.8",324,613,2,306
"0.8 <= Pilot <= 0.9",328,674,2,303
