"","1","2","3","4"
"R <= 0.1",4,424,25,2589
"0.1 < R <= 0.2",121,1953,61,990
"0.2 < R <= 0.3",277,862,32,41
"0.3 < R <= 0.4",318,342,2,3
"0.4 < R <= 0.5",282,95,1,0
"0.5 < R <= 0.6",217,45,0,0
"0.6 < R <= 0.7",175,24,0,0
"0.7 < R <= 0.8",115,8,0,0
"0.8 < R <= 0.9",93,3,0,0
"0.9 < R <= 1",91,4,0,0
"R > 1.0",799,4,0,0
